date,currency_code,rate
2016-09-01,CAD,1.3129
2016-09-01,CLP,665.0
2016-09-01,EUR,0.89718
2016-09-01,GBP,0.75408
2016-09-01,INR,66.959
2016-09-01,MXN,18.8005
2016-09-01,SGD,1.3635
2016-09-01,USD,1.0
2016-10-01,AUD,1.3132
2016-10-01,CAD,1.3162
2016-10-01,CLP,660.0
2016-10-01,EUR,0.89598
2016-10-01,GBP,0.77146
2016-10-01,INR,66.63
2016-10-01,MXN,19.4776
2016-10-01,SGD,1.365
2016-10-01,USD,1.0
2016-11-01,AUD,1.3008
2016-11-01,CAD,1.3361
2016-11-01,CLP,665.0
2016-11-01,EUR,0.90703
2016-11-01,GBP,0.8179
2016-11-01,INR,66.705
2016-11-01,MXN,18.8825
2016-11-01,SGD,1.3885
2016-11-01,USD,1.0
2016-12-01,AUD,1.353
2016-12-01,CAD,1.34
2016-12-01,CLP,670.0
2016-12-01,EUR,0.941
2016-12-01,GBP,0.79136
2016-12-01,INR,68.351
2016-12-01,MXN,20.64
2016-12-01,SGD,1.428
2016-12-01,USD,1.0
2017-01-01,AUD,1.3847
2017-01-01,CAD,1.346
2017-01-01,CLP,668.0
2017-01-01,EUR,0.94868
2017-01-01,GBP,0.81224
2017-01-01,INR,67.92
2017-01-01,MXN,20.655
2017-01-01,SGD,1.4452
2017-01-01,USD,1.0
2017-02-01,AUD,1.3184
2017-02-01,CAD,1.3065
2017-02-01,CLP,642.0
2017-02-01,EUR,0.92678
2017-02-01,GBP,0.79164
2017-02-01,INR,67.427
2017-02-01,MXN,20.704
2017-02-01,SGD,1.4124
2017-02-01,USD,1.0
2017-03-01,AUD,1.3056
2017-03-01,CAD,1.3333
2017-03-01,CLP,654.0
2017-03-01,EUR,0.9494
2017-03-01,GBP,0.81221
2017-03-01,INR,66.834
2017-03-01,MXN,20.042
2017-03-01,SGD,1.4091
2017-03-01,USD,1.0
2017-04-01,AUD,1.3078
2017-04-01,CAD,1.3343
2017-04-01,CLP,660.0
2017-04-01,EUR,0.93537
2017-04-01,GBP,0.80023
2017-04-01,INR,64.911
2017-04-01,MXN,18.7242
2017-04-01,SGD,1.3974
2017-04-01,USD,1.0
2017-05-01,AUD,1.3384
2017-05-01,CAD,1.3645
2017-05-01,CLP,668.0
2017-05-01,EUR,0.91491
2017-05-01,GBP,0.77285
2017-05-01,INR,64.284
2017-05-01,MXN,18.9844
2017-05-01,SGD,1.396
2017-05-01,USD,1.0
2017-06-01,AUD,1.3532
2017-06-01,CAD,1.3508
2017-06-01,CLP,664.0
2017-06-01,EUR,0.89135
2017-06-01,GBP,0.77752
2017-06-01,INR,64.466
2017-06-01,MXN,18.6469
2017-06-01,SGD,1.3838
2017-06-01,USD,1.0
2017-07-01,AUD,1.3013
2017-07-01,CAD,1.2956
2017-07-01,CLP,655.0
2017-07-01,EUR,0.87627
2017-07-01,GBP,0.77053
2017-07-01,INR,64.62
2017-07-01,MXN,18.0372
2017-07-01,SGD,1.3766
2017-07-01,USD,1.0
2017-08-01,AUD,1.2541
2017-08-01,CAD,1.2476
2017-08-01,CLP,646.0
2017-08-01,EUR,0.8466
2017-08-01,GBP,0.7572
2017-08-01,INR,64.099
2017-08-01,MXN,17.7802
2017-08-01,SGD,1.3581
2017-08-01,USD,1.0
2017-09-01,AUD,1.2602
2017-09-01,CAD,1.2441
2017-09-01,CLP,634.0
2017-09-01,EUR,0.83893
2017-09-01,GBP,0.77244
2017-09-01,INR,64.034
2017-09-01,MXN,17.8364
2017-09-01,SGD,1.3545
2017-09-01,USD,1.0
2017-10-01,AUD,1.2769
2017-10-01,CAD,1.244
2017-10-01,CLP,638.0
2017-10-01,EUR,0.84703
2017-10-01,GBP,0.74689
2017-10-01,INR,65.28
2017-10-01,MXN,18.178
2017-10-01,SGD,1.3579
2017-10-01,USD,1.0
2017-11-01,AUD,1.3035
2017-11-01,CAD,1.2906
2017-11-01,CLP,635.0
2017-11-01,EUR,0.86118
2017-11-01,GBP,0.75254
2017-11-01,INR,64.6
2017-11-01,MXN,19.1836
2017-11-01,SGD,1.3614
2017-11-01,USD,1.0
2017-12-01,AUD,1.3204
2017-12-01,CAD,1.2874
2017-12-01,CLP,633.0
2017-12-01,EUR,0.8414
2017-12-01,GBP,0.7414
2017-12-01,INR,64.497
2017-12-01,MXN,18.674
2017-12-01,SGD,1.3474
2017-12-01,USD,1.0
2018-01-01,AUD,1.2795797548569998
2018-01-01,CAD,1.2539814892020344
2018-01-01,CLP,605.53
2018-01-01,EUR,0.8338197281747686
2018-01-01,GBP,0.7397898774284999
2018-01-01,INR,63.87517718669224
2018-01-01,MXN,19.729175352288834
2018-01-01,SGD,1.3361127324272493
2018-01-01,USD,1.0
2018-02-01,AUD,1.249458222971346
2018-02-01,CAD,1.2318805682639056
2018-02-01,CLP,596.64
2018-02-01,EUR,0.8026326350429408
2018-02-01,GBP,0.7024640821895818
2018-02-01,INR,64.02279476683522
2018-02-01,MXN,18.565695481178263
2018-02-01,SGD,1.312464884822217
2018-02-01,USD,1.0
2018-03-01,AUD,1.2937309999178375
2018-03-01,CAD,1.2861720483115602
2018-03-01,CLP,604.14
2018-03-01,EUR,0.8216251745953496
2018-03-01,GBP,0.7273026045518034
2018-03-01,INR,65.17500616218881
2018-03-01,MXN,18.927286172048312
2018-03-01,SGD,1.3269246569714894
2018-03-01,USD,1.0
2018-04-01,AUD,1.3015177339501662
2018-04-01,CAD,1.2900738576414252
2018-04-01,CLP,601.16
2018-04-01,EUR,0.8116224332440549
2018-04-01,GBP,0.7100884668452236
2018-04-01,INR,65.17003489976463
2018-04-01,MXN,18.28171414657901
2018-04-01,SGD,1.3114195276357439
2018-04-01,USD,1.0
2018-05-01,AUD,1.3256892126831692
2018-05-01,CAD,1.2866959185363027
2018-05-01,CLP,620.0
2018-05-01,EUR,0.8278831029058697
2018-05-01,GBP,0.728205977316003
2018-05-01,INR,66.37014653530922
2018-05-01,MXN,18.708253994535973
2018-05-01,SGD,1.325937577614041
2018-05-01,USD,1.0
2018-06-01,AUD,1.3277915845402348
2018-06-01,CAD,1.2976261890479046
2018-06-01,CLP,639.0
2018-06-01,EUR,0.856971462850287
2018-06-01,GBP,0.7513925786271317
2018-06-01,INR,67.11286314165737
2018-06-01,MXN,19.953209358128372
2018-06-01,SGD,1.3383323335332933
2018-06-01,USD,1.0
2018-07-01,AUD,1.3541773889174815
2018-07-01,CAD,1.3245839766683822
2018-07-01,CLP,643.0
2018-07-01,EUR,0.857780065191285
2018-07-01,GBP,0.7600360267627381
2018-07-01,INR,68.46200034311204
2018-07-01,MXN,19.627466117687426
2018-07-01,SGD,1.3635271916280665
2018-07-01,USD,1.0
2018-08-01,AUD,1.3480677154582763
2018-08-01,CAD,1.3022400820793434
2018-08-01,CLP,660.0
2018-08-01,EUR,0.8549931600547196
2018-08-01,GBP,0.7612859097127223
2018-08-01,INR,68.37423050615595
2018-08-01,MXN,18.642270861833104
2018-08-01,SGD,1.3613201094391245
2018-08-01,USD,1.0
2018-09-01,AUD,1.3843446914427946
2018-09-01,CAD,1.3039224100935543
2018-09-01,CLP,668.0
2018-09-01,EUR,0.8582954252853832
2018-09-01,GBP,0.7702343146511029
2018-09-01,INR,71.00205990902069
2018-09-01,MXN,19.193888936571966
2018-09-01,SGD,1.3702686464681144
2018-09-01,USD,1.0
2018-10-01,AUD,1.3846286403584351
2018-10-01,CAD,1.2809753575736686
2018-10-01,CLP,676.0
2018-10-01,EUR,0.8616232982939858
2018-10-01,GBP,0.7675168016543167
2018-10-01,INR,72.91185593658452
2018-10-01,MXN,18.579355505772874
2018-10-01,SGD,1.3702395312769258
2018-10-01,USD,1.0
2018-11-01,AUD,1.3918195383129994
2018-11-01,CAD,1.3081716843675941
2018-11-01,CLP,682.0
2018-11-01,EUR,0.8777319406653208
2018-11-01,GBP,0.7739225840428333
2018-11-01,INR,73.44860879487405
2018-11-01,MXN,20.180549460194857
2018-11-01,SGD,1.3781269200386204
2018-11-01,USD,1.0
2018-12-01,AUD,1.3702790738621358
2018-12-01,CAD,1.3307509463861258
2018-12-01,CLP,693.0
2018-12-01,EUR,0.8803591865481117
2018-12-01,GBP,0.7841183202746721
2018-12-01,INR,69.6201250110045
2018-12-01,MXN,20.328373976582448
2018-12-01,SGD,1.3716876485606129
2018-12-01,USD,1.0
2019-01-01,AUD,1.4165938864628822
2019-01-01,CAD,1.3628820960698689
2019-01-01,CLP,675.13
2019-01-01,EUR,0.8733624454148472
2019-01-01,GBP,0.7812489082969433
2019-01-01,INR,69.63301310043668
2019-01-01,MXN,19.643755458515283
2019-01-01,SGD,1.3616593886462882
2019-01-01,USD,1.0
2019-02-01,AUD,1.3764275128585128
2019-02-01,CAD,1.3141835934094674
2019-02-01,CLP,656.09
2019-02-01,EUR,0.871763577717723
2019-02-01,GBP,0.7661755731845523
2019-02-01,INR,71.28497951355592
2019-02-01,MXN,19.131287594804288
2019-02-01,SGD,1.3487926074448608
2019-02-01,USD,1.0
2019-03-01,AUD,1.4056048493367301
2019-03-01,CAD,1.3152068874637617
2019-03-01,CLP,670.37
2019-03-01,EUR,0.8785030308354563
2019-03-01,GBP,0.7552314855486251
2019-03-01,INR,70.89080207326714
2019-03-01,MXN,19.321795660195026
2019-03-01,SGD,1.3525432662742687
2019-03-01,USD,1.0
2019-04-01,AUD,1.4039693841224634
2019-04-01,CAD,1.3355286578853685
2019-04-01,CLP,667.23
2019-04-01,EUR,0.8899964400142399
2019-04-01,GBP,0.7623531505873977
2019-04-01,INR,69.32048771804912
2019-04-01,MXN,19.262815948736204
2019-04-01,SGD,1.3539515841936633
2019-04-01,USD,1.0
2019-05-01,AUD,1.4183455161347835
2019-05-01,CAD,1.3438224282403282
2019-05-01,CLP,680.0
2019-05-01,EUR,0.8914244963451596
2019-05-01,GBP,0.7688357996077733
2019-05-01,INR,69.58593332144767
2019-05-01,MXN,18.972098413264398
2019-05-01,SGD,1.3605812087716171
2019-05-01,USD,1.0
2019-06-01,AUD,1.4470451080620572
2019-06-01,CAD,1.355483813110932
2019-06-01,CLP,682.0
2019-06-01,EUR,0.896780557797507
2019-06-01,GBP,0.7953815801273428
2019-06-01,INR,69.71661734373599
2019-06-01,MXN,19.632499327414582
2019-06-01,SGD,1.3790691417810064
2019-06-01,USD,1.0
2019-07-01,AUD,1.4297294915851617
2019-07-01,CAD,1.3098951449466913
2019-07-01,CLP,688.0
2019-07-01,EUR,0.8811349017534584
2019-07-01,GBP,0.7905366111551678
2019-07-01,INR,68.93647017358357
2019-07-01,MXN,19.122742091814256
2019-07-01,SGD,1.353335095603137
2019-07-01,USD,1.0
2019-08-01,AUD,1.4619008788620096
2019-08-01,CAD,1.3230044396122136
2019-08-01,CLP,705.0
2019-08-01,EUR,0.906043308870164
2019-08-01,GBP,0.8258584760351545
2019-08-01,INR,69.10573525414516
2019-08-01,MXN,19.213282594908037
2019-08-01,SGD,1.375192534203135
2019-08-01,USD,1.0
2019-09-01,AUD,1.4858644436389996
2019-09-01,CAD,1.3281986226893803
2019-09-01,CLP,712.0
2019-09-01,EUR,0.9061254077564336
2019-09-01,GBP,0.820632475534614
2019-09-01,INR,71.43575570859008
2019-09-01,MXN,20.076748822036972
2019-09-01,SGD,1.387459224356651
2019-09-01,USD,1.0
2019-10-01,AUD,1.4933015232152687
2019-10-01,CAD,1.327399522848229
2019-10-01,CLP,728.0
2019-10-01,EUR,0.9175995595522113
2019-10-01,GBP,0.8162506881996695
2019-10-01,INR,71.10662506881997
2019-10-01,MXN,19.78225362451826
2019-10-01,SGD,1.3863094145714807
2019-10-01,USD,1.0
2019-11-01,AUD,1.449950623933926
2019-11-01,CAD,1.3180716401831405
2019-11-01,CLP,790.0
2019-11-01,EUR,0.8977466558937068
2019-11-01,GBP,0.7721339438010594
2019-11-01,INR,70.7568004309184
2019-11-01,MXN,19.136726815692615
2019-11-01,SGD,1.358200915701589
2019-11-01,USD,1.0
2019-12-01,AUD,1.4776907667091603
2019-12-01,CAD,1.3307230012748132
2019-12-01,CLP,770.0
2019-12-01,EUR,0.9105809506465125
2019-12-01,GBP,0.7760426151884902
2019-12-01,INR,71.65133855399745
2019-12-01,MXN,19.53041340375159
2019-12-01,SGD,1.3674194135858677
2019-12-01,USD,1.0
2020-01-01,AUD,1.4238027416770518
2020-01-01,CAD,1.299448103970091
2020-01-01,CLP,773.72
2020-01-01,EUR,0.8901548869503294
2020-01-01,GBP,0.7573437778173403
2020-01-01,INR,71.37884991988606
2020-01-01,MXN,18.889264732063378
2020-01-01,SGD,1.345113049670643
2020-01-01,USD,1.0
2020-02-01,AUD,1.492399565689468
2020-02-01,CAD,1.3234708650018097
2020-02-01,CLP,798.18
2020-02-01,EUR,0.9048136083966704
2020-02-01,GBP,0.7616268548678973
2020-02-01,INR,71.39477017734347
2020-02-01,MXN,18.824104234527688
2020-02-01,SGD,1.365544697792255
2020-02-01,USD,1.0
2020-03-01,AUD,1.5373052746652092
2020-03-01,CAD,1.344356381525007
2020-03-01,CLP,840.4
2020-03-01,EUR,0.9109957183201239
2020-03-01,GBP,0.7772159970848137
2020-03-01,INR,72.22829552701103
2020-03-01,MXN,19.711214357292523
2020-03-01,SGD,1.395372141750934
2020-03-01,USD,1.0
2020-04-01,AUD,1.6507863935625458
2020-04-01,CAD,1.4265727871250915
2020-04-01,CLP,853.14
2020-04-01,EUR,0.91441111923921
2020-04-01,GBP,0.8088880760790053
2020-04-01,INR,76.44513533284565
2020-04-01,MXN,24.149323335771765
2020-04-01,SGD,1.4346196049743967
2020-04-01,USD,1.0
2020-05-01,AUD,1.526112541375506
2020-05-01,CAD,1.3862633321073925
2020-05-01,CLP,833.0
2020-05-01,EUR,0.9194556822361163
2020-05-01,GBP,0.7990529606472969
2020-05-01,INR,75.03751379183524
2020-05-01,MXN,23.717635159985292
2020-05-01,SGD,1.4089738874586246
2020-05-01,USD,1.0
2020-06-01,AUD,1.4832673623605614
2020-06-01,CAD,1.369917236415977
2020-06-01,CLP,810.0
2020-06-01,EUR,0.8996041741633681
2020-06-01,GBP,0.8067020510975171
